epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2482,2.23926,4.32028,6.54319,1.92364,0.5434,0.07018,0.02041,0.00646,0.51556,0.02632,0.00487,0.00151,2.47295,2.99379,8.27986,2.14316,0.00013336,0.00013336,0.00013336
2,40.7324,1.5839,2.40149,3.35691,1.42027,0.57049,0.26316,0.19657,0.10225,0.57754,0.28947,0.20776,0.09308,1.70009,1.903,15.6479,1.77491,0.000282829,0.000282829,0.000282829
3,54.0154,1.52017,1.96883,2.29795,1.33436,0.16065,0.42861,0.2758,0.14561,0.1904,0.35057,0.25435,0.12244,1.84767,2.59456,8.10366,1.55485,0.000431704,0.000431704,0.000431704
4,65.5554,1.57221,1.88814,1.89925,1.33901,0.77741,0.24561,0.29866,0.15063,0.77741,0.24561,0.29664,0.13851,1.69781,2.1672,4.46692,1.55002,0.000579984,0.000579984,0.000579984
5,77.0857,1.58539,1.88423,1.80992,1.35299,0.27818,0.35844,0.13858,0.05006,0.20885,0.33243,0.13217,0.04035,2.12142,3.38174,9.06005,2.20516,0.000727671,0.000727671,0.000727671
6,89.0431,1.59562,1.84364,1.87327,1.4014,0.75497,0.21907,0.20063,0.09133,0.77132,0.14912,0.14571,0.05955,2.02792,3.75482,4.00109,1.87007,0.000874763,0.000874763,0.000874763
7,100.896,1.48647,1.75043,1.62385,1.3695,0.67546,0.17544,0.17767,0.07661,1,0.07895,0.11399,0.04134,2.25582,6.40436,6.6435,1.88587,0.00102126,0.00102126,0.00102126
8,111.948,1.44699,1.76677,1.63245,1.35401,0.57657,0.17544,0.0885,0.03921,0.55743,0.13158,0.0571,0.01719,1.94572,6.11887,11.3142,1.62692,0.00116717,0.00116717,0.00116717
9,122.825,1.48993,1.74843,1.50331,1.34209,0.14531,0.44707,0.02774,0.01178,0.14345,0.26286,0.02189,0.00483,2.14886,8.20405,86.8099,1.84626,0.00131248,0.00131248,0.00131248
10,134.033,1.50332,1.74654,1.52656,1.34133,0.48471,0.20145,0.20986,0.11553,0.46316,0.18391,0.18033,0.08204,1.81033,4.54761,8.17649,1.50954,0.00145719,0.00145719,0.00145719
11,144.765,1.52199,1.7165,1.5888,1.34316,0.76081,0.2807,0.31183,0.15157,0.73636,0.25439,0.26145,0.0937,1.90953,2.49747,6.2855,1.95097,0.00160131,0.00160131,0.00160131
12,155.765,1.54302,1.73824,1.60595,1.36464,0.63873,0.26286,0.28231,0.13443,0.65178,0.25408,0.27305,0.09496,2.03083,3.48168,3.40238,1.93697,0.00163069,0.00163069,0.00163069
13,168.105,1.47064,1.7441,1.52085,1.30985,0.05144,0.47338,0.01787,0.00663,0.05,0.28917,0.00968,0.00286,2.68023,6.55964,17.3664,2.00617,0.00162739,0.00162739,0.00162739
14,179.683,1.48283,1.75474,1.51544,1.34917,0.05935,0.38445,0.02471,0.00912,0.06149,0.16515,0.01946,0.00367,3.18565,28.7986,16.2303,2.76439,0.00162409,0.00162409,0.00162409
15,191.242,1.47969,1.7322,1.4904,1.35259,0.6728,0.23684,0.16841,0.07564,0.71464,0.15789,0.15301,0.05265,2.24646,9.43067,3.38261,1.92893,0.00162079,0.00162079,0.00162079
16,202.374,1.51886,1.69492,1.5035,1.35204,0.26097,0.4391,0.15091,0.05674,0.25197,0.32964,0.09364,0.0287,2.60651,4.61912,2.84508,2.08523,0.00161749,0.00161749,0.00161749
17,213.403,1.44529,1.71266,1.45676,1.29834,0.25799,0.24561,0.20629,0.09461,0.57729,0.28917,0.24467,0.08821,1.83842,2.69842,2.29088,1.85434,0.00161419,0.00161419,0.00161419
18,224.618,1.42401,1.54697,1.37661,1.28526,0.32722,0.41869,0.3271,0.17494,0.38086,0.43799,0.34525,0.14141,1.69377,1.90719,2.02381,1.60291,0.00161089,0.00161089,0.00161089
19,234.964,1.46333,1.68075,1.37176,1.32663,0.42941,0.4994,0.42482,0.21404,0.61039,0.41083,0.35528,0.1498,1.52674,2.06388,2.22953,1.45797,0.00160759,0.00160759,0.00160759
20,246.034,1.46559,1.59601,1.37556,1.3157,0.73874,0.42045,0.47823,0.26985,0.54152,0.41198,0.44005,0.18994,1.6889,2.54015,1.83131,1.68701,0.00160429,0.00160429,0.00160429
21,257.426,1.42243,1.61128,1.42059,1.31319,0.35175,0.59437,0.44677,0.24848,0.34434,0.464,0.4043,0.18799,1.70356,2.11481,1.6801,1.56989,0.00160099,0.00160099,0.00160099
