epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,886.697,1.28358,1.42332,1.18111,1.28176,0.63873,0.69276,0.68378,0.43322,0.61566,0.67831,0.65091,0.34304,1.17291,1.12531,1.04413,1.15649,0.00157128,0.00157128,0.00157128
31,914.692,1.22467,1.40868,1.15103,1.20287,0.63644,0.70251,0.73359,0.43444,0.61958,0.70054,0.70544,0.36134,1.23963,1.16263,1.08081,1.2175,0.00156798,0.00156798,0.00156798
32,942.259,1.2478,1.29373,1.12175,1.21976,0.6299,0.70425,0.7163,0.43044,0.62187,0.67134,0.66437,0.34916,1.20991,1.13262,1.10098,1.18661,0.00156468,0.00156468,0.00156468
33,975.644,1.20731,1.4455,1.08167,1.21646,0.75359,0.67862,0.75907,0.46935,0.74919,0.65299,0.74129,0.40016,1.09288,1.05085,0.98826,1.14539,0.00156138,0.00156138,0.00156138
34,1003.51,1.16335,1.34807,1.05048,1.19798,0.56444,0.6595,0.64312,0.40997,0.56111,0.65485,0.63921,0.33064,1.14366,1.21806,1.11852,1.18628,0.00155808,0.00155808,0.00155808
35,1032.38,1.1725,1.3252,1.01234,1.18757,0.61905,0.77595,0.76548,0.47491,0.62626,0.74988,0.76079,0.39923,1.16625,1.0593,1.08298,1.1792,0.00155478,0.00155478,0.00155478
36,1061.08,1.19725,1.37991,1.0403,1.19961,0.7326,0.68775,0.75442,0.49032,0.76854,0.64695,0.73527,0.39592,1.10265,1.08859,1.00954,1.14611,0.00155148,0.00155148,0.00155148
37,1087.5,1.20266,1.39632,1.093,1.20225,0.69699,0.7079,0.77298,0.48031,0.70693,0.70157,0.76569,0.39469,1.12231,1.09397,1.02601,1.16582,0.00154818,0.00154818,0.00154818
38,1113.63,1.18368,1.36782,1.04784,1.16634,0.78846,0.68376,0.78189,0.49898,0.77961,0.67643,0.7764,0.4075,1.10501,1.05015,0.95899,1.13963,0.00154488,0.00154488,0.00154488
39,1140.14,1.18455,1.27216,1.01231,1.18807,0.68483,0.80159,0.80132,0.45323,0.67822,0.78446,0.79167,0.38614,1.28379,1.02473,0.98503,1.22793,0.00154157,0.00154157,0.00154157
40,1165.91,1.16435,1.30737,1.08851,1.21436,0.79454,0.72406,0.81399,0.49916,0.79916,0.7159,0.80668,0.40693,1.14287,1.04371,0.97665,1.18601,0.00153827,0.00153827,0.00153827
41,1194.15,1.16275,1.43433,1.02666,1.16006,0.74082,0.74053,0.80451,0.51444,0.74376,0.74231,0.81227,0.431,1.0801,1.0387,0.97507,1.13208,0.00153497,0.00153497,0.00153497
42,1220.28,1.10666,1.24389,0.94969,1.15486,0.69541,0.73344,0.78406,0.50206,0.69622,0.72066,0.76388,0.40499,1.0533,1.07725,0.94299,1.13572,0.00153167,0.00153167,0.00153167
43,1247.94,1.20917,1.35149,1.04885,1.20925,0.66579,0.78283,0.78069,0.49204,0.66396,0.75552,0.77856,0.39393,1.08261,1.04905,0.99393,1.12532,0.00152837,0.00152837,0.00152837
44,1275.27,1.11308,1.34362,0.98485,1.13801,0.71048,0.80105,0.79905,0.52424,0.70346,0.78385,0.77364,0.37968,1.02672,1.06909,0.95413,1.10046,0.00152507,0.00152507,0.00152507
45,1303.95,1.18045,1.29049,0.98294,1.19058,0.686,0.75468,0.78859,0.52091,0.65254,0.74988,0.74068,0.40547,0.98262,1.02509,0.9408,1.08666,0.00152177,0.00152177,0.00152177
46,1331.32,1.11096,1.29728,0.95206,1.14465,0.70758,0.75172,0.81806,0.50611,0.69319,0.75715,0.80708,0.42215,1.07987,1.00101,0.91811,1.18409,0.00151847,0.00151847,0.00151847
47,1357.36,1.11516,1.23031,0.92186,1.15289,0.73811,0.78644,0.82837,0.55289,0.72859,0.76862,0.81468,0.4434,1.01495,0.9795,0.87535,1.12576,0.00151517,0.00151517,0.00151517
