epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,405.248,1.27124,1.41453,1.1755,1.20947,0.69778,0.49849,0.5316,0.30464,0.61743,0.45493,0.49619,0.25299,1.48834,1.70943,2.18118,1.21768,0.0014277,0.0014277,0.0014277
31,415.734,1.26911,1.45977,1.1366,1.20727,0.55441,0.61071,0.59898,0.35026,0.53533,0.59347,0.57528,0.28005,1.578,1.87421,1.74032,1.38196,0.00141945,0.00141945,0.00141945
32,425.284,1.24013,1.43756,1.114,1.21902,0.55348,0.60343,0.58393,0.3188,0.57842,0.61827,0.58361,0.26055,1.58669,1.87993,1.68831,1.49954,0.0014112,0.0014112,0.0014112
33,436.885,1.22111,1.41983,1.07895,1.19399,0.62433,0.50635,0.56924,0.31844,0.48144,0.58504,0.54862,0.24915,1.57653,1.94906,1.84268,1.41744,0.00140295,0.00140295,0.00140295
34,448.389,1.31544,1.5055,1.14025,1.21959,0.42193,0.56655,0.48437,0.26969,0.42798,0.59226,0.48647,0.23555,1.62239,1.61372,1.7885,1.44915,0.0013947,0.0013947,0.0013947
35,460.277,1.2384,1.35576,1.08472,1.19023,0.53025,0.59316,0.55971,0.29563,0.78017,0.43906,0.54504,0.27088,1.79888,1.64569,1.35217,1.65109,0.00138644,0.00138644,0.00138644
36,473.214,1.20173,1.38745,1.09733,1.18171,0.5115,0.56745,0.54252,0.32264,0.48787,0.58439,0.55073,0.26947,1.70391,1.58462,1.37849,1.53734,0.00137819,0.00137819,0.00137819
37,483.342,1.24778,1.42341,1.11076,1.19546,0.44989,0.61823,0.53538,0.29711,0.58799,0.46219,0.54572,0.25898,1.71433,1.5686,1.47228,1.52832,0.00136994,0.00136994,0.00136994
38,494.065,1.17412,1.37422,1.06218,1.16728,0.61004,0.47542,0.56513,0.35898,0.60137,0.53059,0.58559,0.29199,1.3879,1.72644,1.50139,1.24963,0.00136169,0.00136169,0.00136169
39,505.653,1.21438,1.34433,1.06059,1.19285,0.57666,0.54235,0.57403,0.3292,0.59603,0.54204,0.57895,0.27963,1.50356,1.84735,1.80627,1.4039,0.00135344,0.00135344,0.00135344
40,515.457,1.15443,1.33878,0.98804,1.15197,0.52835,0.69782,0.64716,0.37042,0.55435,0.72323,0.67655,0.29495,1.41821,2.1236,1.55233,1.25141,0.00134519,0.00134519,0.00134519
